id,price,bedrooms,bathrooms,sqft_living,sqft_lot,condition
5537200043,211000,4,1,2100,9200,3
2025700080,265000,3,2.5,1530,6000,4
2025049111,1440000,3,3.5,3870,3819,3
9482700075,800000,4,3.5,2370,3302,3
2856102105,1059500,5,3.25,3230,3825,3
3364900375,750000,2,1,1620,6120,3
7211400850,229000,3,1.5,1200,5000,3
7625703007,271115,2,1.5,830,1325,3
1442700360,428000,3,2.25,2600,15000,3
686550040,1240000,4,3.5,3820,13224,3
573000685,805000,2,1.75,1550,6000,3
2695600195,379500,2,1,960,5096,5
1118000301,2890000,4,4,5780,7173,3
522039106,160000,3,1,1210,103237,2
7844200120,340000,4,2.5,3020,8750,3
1338800491,799500,4,2.5,2760,5750,3
8074200160,265000,3,1,1800,7650,5
7922720250,601002,4,2.5,2050,8094,3
9478550110,299950,3,2.5,1740,4497,3
2895110062,249000,3,1,1752,14626,3
1557000190,240000,3,1.5,1450,9477,4
7853420480,536751,3,1.75,1930,6360,3
6398000011,789000,3,3,3740,39640,3
1003000175,221000,3,1,980,7606,3
5016002180,780000,2,2.5,2560,2500,5
1939120050,638250,4,2.5,2460,8029,3
4136950180,262000,3,2.5,1700,6200,3
2200500350,500000,2,1,1640,14100,4
7452500770,267500,2,1,960,5150,5
3216900100,315000,3,2.5,1880,7000,3
1389310130,330000,3,2.5,1676,18778,3
1814800060,965000,4,3.5,3290,5559,3
5379800040,275000,2,1.75,2090,11317,5
8564500240,415000,5,1.5,1900,10226,3
622059031,759600,4,1,1540,115434,4
4137010590,420000,4,2.5,3040,24123,3
9543000205,139950,0,0,844,4269,4
5306100255,290000,3,2.25,1650,10336,3
2320069083,283000,3,2,1820,15068,3
9310300185,227000,2,1,1040,9100,4
722069057,408000,3,1.75,1600,313672,4
3271300365,1080000,3,2.75,2770,5800,4
8635760040,420000,3,2.5,1770,3993,3
6372000280,560000,3,3.5,1560,2198,3
6403500570,498500,5,2.75,2990,7420,3
5119400075,950000,3,3.25,3050,18892,4
1117300050,537000,3,2,1550,27003,3
1245002952,1197354,4,2.5,2770,7800,3
3330500075,465000,3,1,930,3348,4
9542890010,400000,2,2.5,1340,1240,3
5437820250,187000,2,1.75,1020,10346,4
2916200138,375000,3,2,1260,7560,5
8820902350,810000,4,3.5,3470,7396,3
3523029077,297000,3,1,1340,18000,4
1787600224,390000,3,2.5,1640,6991,3
3445000274,170000,3,1,970,8710,4
2473381090,270000,3,2.25,2390,7000,4
2919702040,599000,5,2.75,2820,4608,3
8901001290,477000,4,1.5,1380,7800,3
6450302546,130000,2,1,840,6654,3
3363900155,470000,2,1,1220,4000,4
1934800162,386180,2,1.5,960,1829,3
7785350010,935000,3,2.5,3570,15151,4
2787700060,420000,3,2.5,1810,7210,5
8965000050,515000,3,1.75,1570,10939,3
1862900360,315000,3,2.5,1950,9618,3
3630120380,539950,2,2,1670,3507,3
9475710060,370000,4,2.5,2220,5338,3
4060000170,255000,2,1,1260,7810,3
3629920140,477000,3,2.25,1260,3000,3
7923600330,520000,5,1.75,2040,5280,4
3211200460,389000,4,1,1520,9800,4
9376301591,580000,3,1.75,1570,2600,4
7137950460,272000,4,2.5,2070,6175,3
8648210050,280000,3,1.75,1480,8165,4
2473480350,305000,3,1.75,1610,12247,3
4131900042,2000000,5,4.25,6490,10862,4
993002225,405000,3,2.25,1520,1245,3
8682231110,579000,2,2,1870,6275,3
3977630130,146300,3,1,1200,9668,5
5095401070,630000,3,2.5,3490,12410,3
2473411240,329950,4,1.75,1740,7208,3
5700000275,635000,3,2.5,2300,5500,4
6398000191,645000,2,1.5,1995,115670,4
2856100185,365000,2,1,680,2550,4
3999300080,887000,6,2.25,3830,11180,5
2770605550,1135000,4,3.25,2960,4296,3
3826000460,297975,3,2.25,2820,8100,4
1723059050,290300,2,1,860,3874,4
1112700130,410000,3,1.75,1440,8560,4
3797002585,660000,3,1,1240,3500,4
5556900080,169000,3,1,910,7686,3
2215450060,302495,3,2.5,2200,7201,3
1523089266,447500,3,2.5,2320,15024,3
7327902612,269500,2,1,930,4000,3
2564900020,465000,4,2.25,2100,7350,3
305010190,680000,4,2.5,2830,8399,3
4068300160,263500,3,1.75,1610,14000,4
1782500035,357000,2,1,870,4600,4
4038700680,750000,5,3,2230,8560,3
5550300175,285000,2,1,720,6400,4
1926069054,450000,3,2,1510,43560,3
685000265,825000,3,1.75,1930,8442,4
8078440050,569500,4,2.5,2340,8248,3
3421069049,565000,2,1.75,1130,276170,3
5561300540,492000,3,1.75,2770,39927,4
339600090,369950,3,2.5,1360,3718,3
859000160,375000,4,2,1720,2410,3
7853302180,451000,4,2.5,2320,5375,3
952005525,589500,3,3.25,2310,3075,3
7417100133,310000,4,3,2320,7200,3
2135200155,580000,5,3.25,3030,7410,3
6758700050,812000,3,2,1970,3420,5
4232401265,1112750,5,3.5,3090,3600,3
722039087,329000,2,1,990,57499,2
3521049048,515000,3,2.5,3430,48993,3
6874200960,170000,2,1,860,5265,3
2856101479,276000,1,0.75,370,1801,5
2787250240,564500,4,2.75,3100,14568,3
3629970620,476100,4,2.5,1850,1836,3
1788900230,199950,3,1,840,9480,3
6600000050,1698000,4,3.5,3950,6240,3
7011201004,645000,3,3.25,1730,1229,3
623049185,185000,5,1,1590,6700,3
5469502460,375000,4,2.75,3140,24800,4
3629910470,590000,3,2.5,2110,3870,3
7575620640,329000,3,2,1840,6755,3
1330300451,1565000,3,1.75,2190,8500,4
3023049256,390000,3,1,1240,11108,4
121029034,549000,2,1,2034,13392,5
2771101251,395000,1,1,790,3000,3
1251200055,1340000,4,3.5,3190,5040,3
3649100473,365000,3,1.5,1300,12240,3
8856940060,374950,4,2.75,2730,4683,3
1771000540,325000,3,1,1160,9525,4
2423069039,650000,3,2.5,2500,51836,3
9430110120,737000,3,2.5,2300,7800,3
7784400070,585000,3,1.75,1740,9500,4
2725069121,813000,4,2.5,3320,52707,3
2419700080,915000,4,2.5,2910,4356,3
1797500435,570000,2,1,1060,4000,4
98020410,802500,4,3.75,3320,8030,3
2475200330,350000,3,2.25,2010,4400,3
1311500020,198000,4,1.75,2080,7200,4
9406540050,428400,4,2.5,2650,6000,3
7893805650,210000,5,2,2050,10200,3
5255700160,485000,3,1.75,2590,8384,4
561000300,345100,3,3.75,1950,8625,3
6928000440,301950,3,1.75,1370,9288,4
7694800070,468000,2,2.5,1480,2167,3
1778350150,839000,5,4,4280,11307,3
2473000720,380000,4,2.25,1860,7980,4
6141100445,499000,2,1.5,1540,6549,3
3329530480,241000,3,2,1770,7000,3
1656600310,629000,4,2.5,2660,22050,3
7525100060,497000,4,2.25,2250,3463,4
7774200236,357000,3,1.5,1340,11744,2
7701960990,870000,4,2.5,3190,14565,3
3295750550,290000,3,2,1760,6600,3
2524049215,1564350,4,3.75,3730,17000,4
1900000195,100000,2,1,930,7623,2
7613700950,1240000,5,3,2830,7500,3
123039147,464950,3,2,2190,19800,3
4053200933,249000,3,1,1000,19204,3
4039800080,1355000,5,3.5,5960,13703,3
3629970090,680000,4,2.5,2520,5000,3
325059086,811000,2,2.5,2510,17986,3
3905000340,672000,4,2.5,2440,10049,4
7834800225,875000,3,2,2010,4000,5
2632000080,242000,2,1,960,21850,3
9269750010,230000,5,2,1210,12538,3
3825310970,845000,4,2.5,2940,7675,3
5364200620,980000,3,2.25,2390,4590,3
8641500252,403000,3,2.5,1502,1400,3
2767602094,565000,3,2.25,1520,1221,3
522059172,220000,3,1,1460,10200,4
3530410081,216500,2,1.75,1390,4482,4
7852150120,384000,3,2.5,1700,4000,3
5101400461,449000,4,2,1560,5220,3
3585300365,625000,4,1.5,2190,13660,3
1152700120,370000,4,3,2490,5706,3
9328500630,545000,3,2.25,1670,6240,4
3407700047,1055000,3,3.25,2990,189852,4
2320069111,449999,4,1.75,2290,36900,5
1061500510,350000,4,1.75,2420,8400,5
2525049263,2680000,5,3,4290,20445,4
6844702290,400000,2,1,1470,6120,2
9542830430,300000,3,2.5,1880,4200,3
3459900305,1110000,4,3.25,3520,19354,4
7604400114,450000,4,2.5,2290,5515,3
9528104109,530000,3,2.5,1365,1090,3
5536100005,2300000,7,4.75,5310,8816,3
5589900761,315000,2,1,770,6731,4
9521100106,440000,4,1,1780,4000,3
7299600700,328000,3,2.5,2242,4800,3
8820900670,399950,3,1.75,1560,5223,4
7490000040,2535000,5,3.25,3730,10626,4
6099400140,230000,5,1,1920,19040,3
3396800120,540000,3,2.5,2180,11100,3
3025059136,800000,2,1,1050,8750,4
8682300010,829000,3,2.75,2690,10443,3
4077800094,675000,4,1.75,2220,7230,3
1189000645,650000,4,2,1930,3976,4
5636010560,314500,4,2.5,2390,9600,3
6381500170,365000,2,1,910,7617,3
4364700600,216000,3,1,1010,7920,3
9542840570,305000,4,2.5,1620,4000,3
2781250400,350500,2,2.5,1770,4950,3
3205400140,385000,3,1.75,1300,7030,3
2475200080,268000,3,1.75,1250,5546,4
7972000010,120750,3,1.75,1140,9628,4
3277801592,479950,3,2,1820,1358,3
9510900070,292500,4,1.75,2140,8162,3
7338220280,257000,3,2.5,1740,3721,3
293810190,456500,4,2.5,2400,6811,3
3034200275,380000,3,1.75,1240,8611,4
1854900470,715000,3,2.5,2890,7027,3
8857640210,574000,4,2.5,2980,10179,3
5045700090,480000,5,2.75,2670,4780,3
3342700464,729000,4,3.5,3065,5440,3
1245500250,555500,2,1,920,10000,4
7785000010,750000,5,2.25,2020,8400,4
3541600405,621500,5,2.5,2140,15950,4
3885803895,763000,3,2,1360,8752,4
7399300510,294900,3,2.25,1500,8100,3
889000024,645000,3,2.25,1640,1023,3
1823069155,525888,5,1.75,2550,71874,5
1931300425,539000,3,2.5,2170,3200,5
5559600140,253000,3,2,1490,7651,3
5652601035,285000,3,1.75,1150,6423,3
1824079107,740000,4,2.25,2920,46355,4
7140600020,245000,3,1,990,9599,4
4131500140,175000,5,1.75,1680,8400,4
1250200600,390000,3,1,1240,3600,3
7942600975,505000,4,1.75,1940,4800,5
3275850180,675000,3,2.25,2610,9002,3
3955900220,410000,4,2.5,2510,5258,3
4032500035,295000,2,1.75,1560,43748,3
9834200030,530000,3,1.5,1240,4080,3
2490200615,400000,2,1,1140,5100,3
8079040300,460500,4,2.5,2170,7533,3
3298600440,260000,4,2.25,2320,16800,4
8099600160,488500,3,2,1710,10959,4
3425059076,780000,2,3.25,3000,24004,3
2205700405,479000,3,1,1340,13750,4
3629960600,350000,3,1.75,1260,1111,3
9407111220,303000,2,1,1020,9200,3
3295750610,295000,3,2,1760,6092,3
324059112,675500,4,2.75,2060,21344,2
425079046,435000,3,2.5,1778,147823,3
5021900635,1575000,3,2,3620,14250,3
2938100005,264950,3,1.5,1370,10115,4
9828701488,360000,2,1,880,1165,3
2592400400,370000,3,1.75,1160,8774,3
3361401210,209000,2,1,1070,6120,3
6206100030,550000,3,1,980,10960,4
9376301180,552500,3,1,1430,5000,3
2770606915,420000,3,1.5,1050,6615,4
7214820400,425000,3,2.25,1800,7371,3
2044500142,420000,3,1.75,1770,6000,3
5015001452,950000,3,2.5,2280,2296,3
5126300960,442250,3,2.5,2170,8169,3
5442300807,2700000,5,2.75,3831,13800,3
4188000670,749400,4,2.5,3240,20301,3
7772000010,352500,4,2,1970,7451,3
1440700190,269950,4,2.5,2540,8400,5
4083301645,525000,3,1,1550,6840,3
7305300045,320000,3,1,1560,7552,4
8691310840,833000,4,2.75,3780,10308,3
1392800035,559000,2,1,1240,6400,4
1446401460,122000,2,1,760,5280,3
5101405274,389000,2,1,910,7000,3
2599200830,226740,3,1.5,1410,8800,4
7853340610,394000,2,2,1750,2731,3
4137000590,322500,4,2.25,2140,9377,4
9222400605,850000,5,4,2980,4500,3
7202340930,634800,4,3,3280,4904,3
2323069073,439500,3,2.5,2050,40003,4
293000165,442000,3,1.5,2050,6384,3
8929000030,419990,3,2.5,1690,1689,3
3052700460,544000,3,2.5,1460,1613,3
2781280390,290000,3,2.5,1610,2937,3
952001710,575000,4,1.75,1630,5750,3
1062100100,424000,4,2,2100,4857,3
3793501390,293000,3,2.5,1690,17383,3
8562500200,375000,3,1.75,960,8106,3
2597460090,1195000,3,2.25,3070,9645,3
1115800440,525000,4,1.75,1650,8560,3
7015200615,820000,4,2.25,2280,6660,3
3668001080,248000,3,2.5,2120,6840,3
7575700015,800000,3,2.75,2220,4000,3
2891000680,195000,3,1.75,1070,6110,4
5561200310,525000,3,3,2470,36445,4
6852700097,630000,3,3.25,1610,1275,3
3401700185,665000,4,2,2970,52567,3
7715801090,429000,3,2.5,1430,9240,3
1930301325,1025000,3,2.75,2780,4000,5
1888120140,989000,5,4.5,4030,13474,3
3996900295,358000,2,1,1140,8340,3
6099400030,320000,3,1.75,2300,41900,4
9126100765,455000,3,1.75,1320,1014,3
8718500665,375000,3,1,1610,11250,3
2641400160,340000,4,2.5,2380,7850,3
9414500200,410000,4,1.75,1790,11875,4
4038700830,575000,4,1.75,2330,8800,4
2214800110,259900,4,2.75,1560,8820,3
255450250,307635,3,2.5,1820,4200,3
1254200015,625000,3,2.5,2260,5500,3
814000020,460000,3,1,1130,7000,3
6021501920,672500,3,2.25,2400,5300,4
8005100540,215000,4,1.5,1860,5040,5
8682291730,530000,2,2,1680,4950,3
2475900855,340000,3,1.75,1540,10400,3
2408800120,360000,4,1.75,2140,49658,5
4037800020,497500,5,1.5,2170,8610,4
2025600280,241400,3,2,1420,9828,4
7338000270,184500,3,1.5,1280,3640,3
1180002378,299000,4,2.5,1950,3000,3
2310030490,292500,3,2.25,1390,6004,3
301400800,261000,3,2.25,1584,2800,3
6669150790,265000,3,2.25,1840,6750,4
7779200355,950000,3,3,3610,17483,4
3830210020,168000,3,1,1200,7210,4
2077700042,530000,3,2,2330,26571,3
9276202130,590000,3,2.5,1710,2875,3
3204300455,1385000,3,2.25,2930,6000,3
8669160460,289950,3,2.5,2099,4275,3
1974300020,380000,4,2.5,2270,11500,3
2301400470,635000,3,1.75,1530,5000,3
1552800010,352000,5,2.75,2980,9838,3
1250200285,261500,3,1,1130,3600,3
2919700109,350000,2,2.5,1280,940,3
7300400170,334000,4,2.5,2310,6200,3
8948500025,380000,4,2.5,2400,9398,4
2473380920,339000,5,2.5,1720,10202,3
9542000030,835100,4,2.5,2380,12573,4
5411600210,810000,4,3.5,4170,4322,3
2426049168,447450,3,2.25,1570,7200,3
7792000025,340000,3,1,3180,27586,3
2923500550,599990,3,2.25,2680,9162,3
8862500280,208400,2,2.5,1570,1268,3
7853420450,575000,4,2.5,2500,4945,3
9828700900,549000,2,1,1140,5400,5
1829300260,765000,4,2.5,3360,13636,3
1862900040,268000,3,2.5,1650,6684,3
723039189,519000,3,1.75,1560,26099,4
9268850180,288790,3,1.75,1290,1237,3
586470350,342000,3,2.5,2430,5715,3
6117501015,387500,3,1,1560,14333,4
9527000330,508000,6,2.75,2890,7500,4
1702900664,479000,2,2.5,1730,1037,3
7525300240,750000,4,2.25,2820,9602,3
3904940070,643000,4,2.5,2270,8391,3
8143000280,478000,3,1.75,1210,6175,3
2600010360,440000,3,2,1800,10950,4
9831200186,690000,2,2.5,1990,1756,3
7853310380,587000,4,2.75,3190,8737,3
4310700778,539950,3,2.25,1860,1558,3
1320069179,397000,3,2,1710,134489,5
1102001055,518000,3,1,1270,6612,3
3904980270,517500,3,2.5,1800,3933,3
2128000160,429000,4,1.75,2160,7700,2
1066000290,600000,6,3,2600,9350,4
5210200081,523000,3,1,1440,8681,3
1823049178,200000,2,1,1010,7200,3
5490210510,500000,3,1.75,1530,14633,3
1872900065,1210000,3,1.75,1900,13600,4
1328330350,390000,3,1.75,1320,7725,3
7203210170,702000,4,2.5,2650,6240,3
3421049044,289000,2,1.75,2056,52333,4
7215730070,680000,5,3,2970,6500,3
